employee_id,competency_id,status
E001,ansvarsvakt,qualified
E001,arbeidsbord,qualified
E001,kontrollsone,qualified
E001,produksjon_uren,qualified
E002,arbeidsbord,qualified
E002,produksjon_uren,qualified
E002,utpost_gastrolab,qualified
E002,utpost_kir_pol,qualified
E002,utpost_kop_barn,qualified
E003,arbeidsbord,qualified
E003,produksjon_uren,qualified
E004,arbeidsbord,qualified
E004,produksjon_steril,qualified
E004,produksjon_uren,qualified
E005,ansvarsvakt,qualified
E005,arbeidsbord,qualified
E005,kontrollsone,qualified
E005,poliklinikker_lospakk,qualified
E005,produksjon_steril,qualified
E005,produksjon_uren,qualified
E005,sterrad,qualified
E005,utpost_kir_pol,qualified
E006,ansvarsvakt,qualified
E006,arbeidsbord,qualified
E006,kontrollsone,qualified
E006,produksjon_steril,qualified
E006,produksjon_uren,qualified
E007,arbeidsbord,qualified
E007,kontrollsone,qualified
E007,produksjon_steril,qualified
E007,produksjon_uren,qualified
E007,utpost_gastrolab,qualified
E007,utpost_kir_pol,qualified
E008,arbeidsbord,qualified
E008,kontrollsone,qualified
E008,produksjon_steril,qualified
E008,produksjon_uren,qualified
E008,utpost_gastrolab,qualified
E008,utpost_kir_pol,qualified
E008,utpost_kop_barn,qualified
E009,arbeidsbord,qualified
E009,kontrollsone,qualified
E009,poliklinikker_lospakk,qualified
E009,produksjon_steril,qualified
E009,produksjon_uren,qualified
E009,sterrad,qualified
E009,utpost_gastrolab,qualified
E009,utpost_kir_pol,qualified
E009,utpost_kop_barn,qualified
E010,ansvarsvakt,qualified
E010,arbeidsbord,qualified
E010,kontrollsone,qualified
E010,poliklinikker_lospakk,qualified
E010,produksjon_uren,qualified
E010,sterrad,qualified
E011,arbeidsbord,qualified
E011,produksjon_uren,qualified
E011,utpost_gastrolab,qualified
E011,utpost_kir_pol,qualified
E012,arbeidsbord,qualified
E012,kontrollsone,qualified
E012,produksjon_uren,qualified
E013,ansvarsvakt,qualified
E013,arbeidsbord,qualified
E013,kontrollsone,qualified
E013,poliklinikker_lospakk,qualified
E013,produksjon_steril,qualified
E013,produksjon_uren,qualified
E013,sterrad,qualified
E014,ansvarsvakt,qualified
E014,arbeidsbord,qualified
E014,kontrollsone,qualified
E014,poliklinikker_lospakk,qualified
E014,produksjon_steril,qualified
E014,produksjon_uren,qualified
E014,sterrad,qualified
E015,ansvarsvakt,qualified
E015,arbeidsbord,qualified
E015,kontrollsone,qualified
E015,poliklinikker_lospakk,qualified
E015,produksjon_steril,uncertain
E015,produksjon_uren,qualified
E015,sterrad,qualified
E016,arbeidsbord,qualified
E016,kontrollsone,qualified
E016,poliklinikker_lospakk,qualified
E016,produksjon_steril,qualified
E016,produksjon_uren,qualified
E016,sterrad,qualified
E017,ansvarsvakt,qualified
E017,arbeidsbord,qualified
E017,kontrollsone,qualified
E017,poliklinikker_lospakk,qualified
E017,produksjon_steril,qualified
E017,produksjon_uren,qualified
E017,sterrad,qualified
E017,utpost_gastrolab,qualified
E017,utpost_kir_pol,qualified
E017,utpost_kop_barn,qualified
E018,arbeidsbord,qualified
E018,poliklinikker_lospakk,uncertain
E018,produksjon_steril,qualified
E018,produksjon_uren,qualified
E018,sterrad,uncertain
E018,utpost_gastrolab,qualified
E019,arbeidsbord,qualified
E019,kontrollsone,qualified
E019,poliklinikker_lospakk,qualified
E019,produksjon_steril,qualified
E019,produksjon_uren,qualified
E019,sterrad,qualified
E019,utpost_gastrolab,qualified
E019,utpost_kir_pol,qualified
E019,utpost_kop_barn,qualified
E020,arbeidsbord,qualified
E020,kontrollsone,qualified
E020,produksjon_uren,qualified
E021,ansvarsvakt,qualified
E021,arbeidsbord,qualified
E021,kontrollsone,qualified
E021,poliklinikker_lospakk,qualified
E021,produksjon_steril,qualified
E021,sterrad,qualified
E022,ansvarsvakt,qualified
E022,arbeidsbord,qualified
E022,kontrollsone,qualified
E022,poliklinikker_lospakk,qualified
E022,produksjon_steril,qualified
E022,produksjon_uren,qualified
E022,sterrad,qualified
E023,ansvarsvakt,qualified
E023,arbeidsbord,qualified
E023,kontrollsone,qualified
E023,poliklinikker_lospakk,qualified
E023,produksjon_steril,qualified
E023,produksjon_uren,qualified
E023,sterrad,qualified
E024,ansvarsvakt,qualified
E024,arbeidsbord,qualified
E024,kontrollsone,qualified
E024,poliklinikker_lospakk,qualified
E024,produksjon_steril,qualified
E024,produksjon_uren,qualified
E024,sterrad,qualified
E025,kontrollsone,qualified
E025,produksjon_steril,qualified
E025,produksjon_uren,qualified
E025,utpost_kir_pol,qualified
E026,arbeidsbord,qualified
E026,kontrollsone,qualified
E026,poliklinikker_lospakk,qualified
E026,produksjon_steril,qualified
E026,produksjon_uren,qualified
E026,sterrad,qualified
E027,utpost_gastrolab,qualified
E027,utpost_kir_pol,qualified
E027,utpost_kop_barn,qualified
E028,utpost_gastrolab,qualified
E028,utpost_kir_pol,qualified
E028,utpost_kop_barn,qualified
E029,ansvarsvakt,qualified
E029,arbeidsbord,qualified
E029,kontrollsone,qualified
E029,poliklinikker_lospakk,qualified
E029,produksjon_steril,uncertain
E029,produksjon_uren,qualified
E029,sterrad,qualified
E029,utpost_gastrolab,qualified
E029,utpost_kir_pol,qualified
E029,utpost_kop_barn,qualified
E030,ansvarsvakt,qualified
E030,arbeidsbord,qualified
E030,kontrollsone,qualified
E030,poliklinikker_lospakk,qualified
E030,produksjon_steril,qualified
E030,produksjon_uren,qualified
E030,sterrad,qualified
E030,utpost_kir_pol,qualified
E031,arbeidsbord,qualified
E031,kontrollsone,qualified
E031,poliklinikker_lospakk,qualified
E031,produksjon_uren,qualified
E031,sterrad,qualified
E031,utpost_gastrolab,qualified
E031,utpost_kir_pol,qualified
E031,utpost_kop_barn,qualified
E032,ansvarsvakt,qualified
E032,arbeidsbord,qualified
E032,kontrollsone,qualified
E032,poliklinikker_lospakk,qualified
E032,produksjon_uren,qualified
E032,sterrad,qualified
E032,utpost_kir_pol,qualified
E033,arbeidsbord,qualified
E033,produksjon_steril,qualified
E033,produksjon_uren,qualified
E034,ansvarsvakt,qualified
E034,arbeidsbord,qualified
E034,kontrollsone,qualified
E034,poliklinikker_lospakk,qualified
E034,produksjon_uren,qualified
E034,sterrad,qualified
E034,utpost_kir_pol,qualified
E035,ansvarsvakt,qualified
E035,arbeidsbord,qualified
E035,kontrollsone,qualified
E035,poliklinikker_lospakk,qualified
E035,produksjon_steril,qualified
E035,produksjon_uren,qualified
E035,sterrad,qualified
E036,arbeidsbord,qualified
E036,produksjon_steril,uncertain
E036,produksjon_uren,qualified
E037,ansvarsvakt,qualified
E037,arbeidsbord,qualified
E037,kontrollsone,qualified
E037,poliklinikker_lospakk,qualified
E037,produksjon_steril,uncertain
E037,produksjon_uren,qualified
E037,sterrad,qualified
E038,ansvarsvakt,qualified
E038,arbeidsbord,qualified
E038,kontrollsone,qualified
E038,poliklinikker_lospakk,qualified
E038,produksjon_steril,qualified
E038,produksjon_uren,qualified
E038,sterrad,qualified
E039,ansvarsvakt,qualified
E039,arbeidsbord,qualified
E039,kontrollsone,qualified
E039,poliklinikker_lospakk,qualified
E039,produksjon_steril,qualified
E039,produksjon_uren,qualified
E039,sterrad,qualified
E039,utpost_gastrolab,qualified
E039,utpost_kir_pol,qualified
E039,utpost_kop_barn,qualified
E040,arbeidsbord,qualified
E040,produksjon_steril,qualified
E040,produksjon_uren,qualified
E041,arbeidsbord,qualified
E041,kontrollsone,qualified
E041,poliklinikker_lospakk,qualified
E041,produksjon_uren,qualified
E041,sterrad,qualified
E042,ansvarsvakt,qualified
E042,arbeidsbord,qualified
E042,kontrollsone,qualified
E042,poliklinikker_lospakk,qualified
E042,produksjon_steril,qualified
E042,produksjon_uren,qualified
