period_type,shift_type,sort_order,weekday,weekday_num,start,end
Helg,Stengt,5,Mandag,0,00:00:00,06:59:59
Hverdag,Tidligvakt,1,Mandag,0,07:00:00,14:59:59
Hverdag,Senvakt,2,Mandag,0,15:00:00,21:59:59
Hverdag,Nattevakt,3,Mandag,0,22:00:00,23:59:59
Hverdag,Nattevakt,3,Tirsdag,1,00:00:00,06:59:59
Hverdag,Tidligvakt,1,Tirsdag,1,07:00:00,14:59:59
Hverdag,Senvakt,2,Tirsdag,1,15:00:00,21:59:59
Hverdag,Nattevakt,3,Tirsdag,1,22:00:00,23:59:59
Hverdag,Nattevakt,3,Onsdag,2,00:00:00,06:59:59
Hverdag,Tidligvakt,1,Onsdag,2,07:00:00,14:59:59
Hverdag,Senvakt,2,Onsdag,2,15:00:00,21:59:59
Hverdag,Nattevakt,3,Onsdag,2,22:00:00,23:59:59
Hverdag,Nattevakt,3,Torsdag,3,00:00:00,06:59:59
Hverdag,Tidligvakt,1,Torsdag,3,07:00:00,14:59:59
Hverdag,Senvakt,2,Torsdag,3,15:00:00,21:59:59
Hverdag,Nattevakt,3,Torsdag,3,22:00:00,23:59:59
Hverdag,Nattevakt,3,Fredag,4,00:00:00,06:59:59
Hverdag,Tidligvakt,1,Fredag,4,07:00:00,14:59:59
Hverdag,Senvakt,2,Fredag,4,15:00:00,16:59:59
Helg,Senvakt,2,Fredag,4,17:00:00,21:59:59
Helg,Stengt,5,Fredag,4,22:00:00,23:59:59
Helg,Stengt,5,Lørdag,5,00:00:00,07:59:59
Helg,Helgevakt,4,Lørdag,5,08:00:00,17:59:59
Helg,Stengt,5,Lørdag,5,18:00:00,23:59:59
Helg,Stengt,5,Søndag,6,00:00:00,07:59:59
Helg,Helgevakt,4,Søndag,6,08:00:00,17:59:59
Helg,Stengt,5,Søndag,6,18:00:00,23:59:59
