code,start,end,crosses_midnight,category,utpost_code,duration_hours,comment
A,14:00,22:00,no,senvakt,no,8.0,
A1,13:30,21:00,no,senvakt,no,7.5,"Tidspunkt normalisert fra '13.30'/'21.00' i kilden"
A2,15:00,22:00,no,senvakt,no,7.0,
A4,14:30,22:00,no,senvakt,no,7.5,
D,07:00,15:00,no,tidligvakt,no,8.0,
D1,07:00,14:00,no,tidligvakt,no,7.0,
D2,08:00,15:00,no,tidligvakt,no,7.0,
DK,07:00,15:00,no,tidligvakt,no,8.0,"Driftskoordinator – prioriteres til funksjonen DK/ansvarsvakt (D41)"
DKK,07:00,14:00,no,tidligvakt,no,7.0,"Driftskoordinator – prioriteres til funksjonen DK/ansvarsvakt (D41)"
H1,08:00,16:00,no,helgevakt,no,8.0,"Helg-/helligdagsvakt (D36)"
H2,10:00,18:00,no,helgevakt,no,8.0,"Helg-/helligdagsvakt (D36)"
ME,12:00,20:00,no,mellomvakt,no,8.0,"Mellomvakt – rullerer kl. 16:00 (D35)"
N,22:00,07:00,yes,nattevakt,no,9.0,
NA,21:45,07:15,yes,nattevakt,no,9.5,
U10,10:00,17:00,no,tidligvakt,yes,7.0,"Utpostkode – dager med U-kode holdes utenfor SF-planleggingen (D55)"
U16,09:00,16:00,no,tidligvakt,yes,7.0,"Utpostkode (D55)"
U17,09:00,17:00,no,tidligvakt,yes,8.0,"Utpostkode (D55)"
U8,08:00,17:00,no,tidligvakt,yes,9.0,"Utpostkode (D55)"
U9,09:00,18:00,no,tidligvakt,yes,9.0,"Utpostkode (D55)"
UKB,08:00,15:30,no,tidligvakt,yes,7.5,"Utpostkode (D55)"
UME,12:00,20:00,no,mellomvakt,yes,8.0,"Utpostkode, mellomvakt – rullerer kl. 16:00 (D35)"
